England : wales 0.6,scotland 0.5,english_people 0.49,cardiff 0.48,english_midlands 0.48,welsh_language 0.47,mandarin 0.46,gaelic_scots 0.46,yorkshire 0.45,mandarin_dialects 0.45,welsh_english 0.44,southern_england 0.44,british_english 0.44,netherlands_national_football_team 0.44,great_britain 0.43,west_country 0.43,manchester_united_kingdom 0.43,standard_cantonese 0.42,english 0.42,american_english 0.42
Irish_Singles_Chart : uk_singles_chart 0.68,uk_indie_chart 0.63,uk_albums_chart 0.62,canadian_hot_100 0.59,canadian_albums_chart 0.58,irish_albums_chart 0.58,modern_rock_tracks 0.57,the_big_top_40_show 0.57,hot_dance_club_play 0.56,beautiful_world 0.55,billboard 0.55,the_man_who_cant_be_moved 0.55,billboard_hot_100 0.55,trick_to_life 0.55,no_promises 0.55,billboard_200 0.54,what_about_now 0.54,billboard_charts 0.54,everybody_wants_to_be_on_tv 0.54,hot_dance_airplay 0.53
The_Cramps : lux_interior 0.69,kristy_wallace 0.64,the_dead_boys 0.58,the_slits 0.57,the_damned 0.56,johnny_thunders 0.55,the_sonics 0.54,blue_cheer 0.54,the_modern_lovers 0.54,new_york_dolls 0.54,dead_kennedys 0.53,ramones 0.53,link_wray 0.53,tuff_darts 0.52,45_grave 0.52,bad_brains 0.52,butthole_surfers 0.52,black_flag 0.52,the_weirdos 0.52,13th_floor_elevators 0.52
Malmesbury : calne 0.75,corsham 0.73,melksham 0.71,cricklade 0.71,marlborough 0.7,trowbridge 0.7,devizes 0.7,chippenham 0.7,bradford_on_avon 0.68,wiltshire 0.67,pewsey 0.67,swindon 0.65,highworth 0.65,cirencester 0.64,wroughton 0.63,colerne 0.63,fairford 0.62,wimborne_minster 0.62,salisbury 0.62,purton 0.62
Tata_Group : ratan_tata 0.81,tata_motors 0.75,tata_sons 0.69,tata_1_lakh_car 0.65,ravi_kant 0.63,birla_family 0.63,aditya_birla_group 0.62,aditya_vikram_birla 0.62,essar 0.6,tata_tea_limited 0.59,kumar_mangalam_birla 0.58,tata_steel 0.58,hinduja_brothers 0.58,mahindra_mahindra_limited 0.58,singur 0.57,rpg_group 0.57,sunil_mittal 0.57,bharti_enterprises 0.57,videocon_electronics 0.57,jaguar_land_rover 0.56
Newark_Liberty_International_Airport : john_f_kennedy_airport 0.79,fiorello_h_laguardia 0.74,laguardia_airport 0.73,philadelphia_international_airport 0.67,washington_dulles_international_airport 0.66,ohare_international_airport 0.66,logan_international_airport 0.65,ronald_reagan_washington_national_airport 0.62,hartsfield-jackson_atlanta_international_airport 0.6,george_bush_intercontinental_airport 0.59,los_angeles_international_airport 0.59,san_francisco_international_airport 0.57,terminal_c 0.57,miami_international_airport 0.57,midway_airport 0.56,teterboro 0.56,norfolk_international_airport 0.56,port_authority_of_new_york_and_new_jersey 0.55,jetblue_airways 0.55,bradley_international_airport 0.55
Doctor_of_the_Church : church_fathers 0.64,john_chrysostom 0.61,apostolic_fathers 0.57,gregory_of_nazianzus 0.57,pope_leo_i 0.57,bernard_of_clairvaux 0.56,gregory_of_nyssa 0.56,servant_of_god 0.55,history_of_the_church 0.55,john_of_damascus 0.55,athanasius_of_alexandria 0.55,therese_de_lisieux 0.55,john_of_the_cross 0.55,divine_mercy 0.55,alphonsus_liguori 0.55,hans_urs_von_balthasar 0.55,twelve_apostles 0.55,pope_clement_i 0.54,catherine_of_siena 0.54,holy_face_of_jesus 0.54
Chief_Justice_of_Australia : jocelynne_scutt 0.48,jim_spigelman 0.48,murray_gleeson 0.47,gerard_brennan 0.46,chief_justice 0.46,david_malcolm 0.46,idris_legbo_kutigi 0.46,susan_kiefel 0.46,niki_tobi 0.45,supreme_court_of_nigeria 0.44,derek_schofield 0.44,anthony_gates 0.44,47mwxz 0.44,high_court_judge 0.44,davendra_pathik 0.44,mari_kapi 0.44,mark_fernando 0.44,burton_hall 0.43,gordon_ward 0.43,brian_george_keith_alleyne 0.43
CBS_Television_Distribution : king_world_productions 0.62,cbs_paramount_international_television 0.62,cbs_paramount_television 0.55,cbs_television_stations 0.53,cbs_paramount_domestic_television 0.51,paramount_domestic_television 0.47,warner_bros_television_distribution 0.47,nbc_universal_television_distribution 0.46,cbs_corporation 0.46,sony_pictures_television 0.46,20th_television 0.46,debmar_mercury 0.46,judge_judy 0.46,judge_mathis 0.44,steve_wilkos 0.43,telepictures 0.42,lncp_m 0.42,cbs_radio 0.42,lncp_5 0.41,lncq01 0.41
Home_insurance : vehicle_insurance 0.51,travel_insurance 0.47,pet_insurance 0.46,motorcycle_insurance 0.44,health_insurance 0.4,owner-occupier 0.39,casualty_insurance 0.38,general_insurance 0.38,life_insurance 0.38,farmers_group_inc 0.37,flood_insurance 0.37,marine_insurance 0.37,mortgage_loan 0.36,whole_life_insurance 0.36,contents_insurance 0.35,national_flood_insurance_program 0.35,income_protection_insurance 0.34,national_association_of_insurance_commissioners 0.34,zurich_financial_services 0.34,allstate 0.34
Scott_Nein : ohio_state_highway_129 0.54,michael_a_fox 0.39,bob_schuler 0.37,jim_trakas 0.37,ray_c_bliss 0.36,michelle_g_schneider 0.36,gary_cates 0.36,don_mottley 0.36,steve_buehrer 0.36,larry_mumper 0.35,frank_j_lausche 0.35,micheal_r_williams 0.35,john_domenick 0.35,w_chapman_revercomb 0.35,oliver_ocasek 0.34,greg_jolivette 0.34,jim_hoops 0.34,steve_reinhard 0.34,ronald_m_mottl 0.34,c_j_mclin 0.34
Ali_Hassan_Kuban : chaabi 0.5,nass_el_ghiwane 0.48,fathy_salama 0.48,eftekasat 0.47,hossam_ramzy 0.45,east_of_the_river_nile 0.45,kalindula 0.45,rhythm_and_blues 0.45,sheikh_imam 0.44,baba_zula 0.44,jil_jilala 0.44,cheikh_lo 0.43,tanghetto 0.43,soukous 0.43,ishtar_1968 0.43,natacha_atlas 0.43,koalib 0.43,africando 0.43,red_snapper 0.42,nojazz 0.42
Soundtrack : academy_award_for_original_music_score 0.55,cinematography 0.49,academy_award_for_best_song 0.49,screenplay 0.48,academy_award_for_best_cinematography 0.47,michael_giacchino 0.47,academy_award_for_sound_mixing 0.47,academy_award_for_best_picture 0.47,academy_award_for_writing_adapted_screenplay 0.46,academy_award_for_best_animated_feature 0.46,academy_award_for_best_art_direction 0.46,academy_award_for_film_editing 0.45,academy_award_for_writing_original_screenplay 0.44,animation 0.44,alexadre_desplat 0.43,hans_zimmer 0.43,academy_award_for_best_director 0.42,bafta_award_for_best_film_music 0.42,michael_brook 0.42,film_score 0.42
Illinois : springfield_illinois 0.69,little_egypt 0.65,peoria 0.65,central_illinois 0.63,champaign 0.61,rockford 0.61,arlington_heights 0.61,des_plaines 0.61,bloomington_illinois 0.6,decatur_illinois 0.6,evanston 0.6,naperville 0.6,waukegan 0.6,chicago 0.6,downers_grove 0.59,indiana 0.58,schaumburg_illinois 0.58,buffalo_grove 0.58,kankakee 0.58,wheaton 0.57
London : west_end_of_london 0.62,south_london 0.61,central_london 0.59,united_kingdom 0.59,north_london 0.57,east_london_england 0.55,canary_wharf 0.55,city_of_london 0.53,paris 0.52,east_end_of_london 0.51,greater_london 0.51,chiswick 0.5,mayfair_london 0.5,manchester_united_kingdom 0.5,south_kensington 0.5,london_w1 0.5,battersea 0.5,marylebone 0.49,evening_standard 0.49,east_london 0.49
Speaker_of_the_United_States_House_of_Representatives : newt_gingrich 0.57,speaker 0.57,nancy_pelosi 0.54,john_boehner 0.49,house_of_representatives_of_japan 0.48,majority_leader 0.47,rick_santorum 0.47,united_states_house_of_representatives 0.46,mitt_romney 0.45,party_whips_of_the_united_states_house_of_representatives 0.45,ron_paul 0.44,dennis_hastert 0.43,governor_of_massachusetts 0.43,minority_leader 0.43,michele_bachmann 0.43,white_house 0.43,house_of_representatives 0.42,democracy 0.41,contract_with_america 0.41,congressional_caucus 0.41
The_Coasters : the_drifters 0.73,the_platters 0.63,carl_gardner 0.58,cornell_gunter 0.58,the_del-vikings 0.57,bobby_hendricks 0.55,danny_the_juniors 0.54,there_goes_my_baby 0.52,bobby_nunn 0.51,clyde_mcphatter 0.51,ben_e_king 0.51,yakety_yak 0.51,the_duprees 0.5,jerry_leiber_and_mike_stoller 0.5,ruby_baby 0.5,the_templations 0.49,the_shirelles 0.49,lavern_baker 0.49,the_marcels 0.49,the_marvelettes 0.49
Sri_Lankan_rupee : statutory_liquidity_ratio 0.79,rolling_resistance 0.73,reserve_requirement 0.7,reserve_bank_of_india 0.63,repo_rate 0.59,open_market_operation 0.53,glr0m2 0.47,duvvuri_subbarao 0.45,3rrr 0.44,split_ring_resonator 0.43,ways_and_means_advances 0.43,external_commercial_borrowing 0.43,subir_gokarn 0.43,y_venugopal_reddy 0.42,single-lens_reflex_camera 0.42,maximum_segment_size 0.42,arun_kaul 0.41,prime_rate 0.41,repurchase_agreement 0.41,bank_rate 0.41
Universities_Research_Association : piermaria_oddone 0.5,argonne_national_laboratory 0.5,open_science_grid_consortium 0.46,united_states_department_of_energy_national_laboratories 0.45,brookhaven_national_laboratory 0.44,stanford_linear_accelerator_center 0.44,national_science_foundation 0.44,fermilab 0.43,william_f_brinkman 0.42,lawrence_berkeley_national_laboratory 0.41,bashkir_state_university 0.41,energy_sciences_network 0.41,pier_oddone 0.41,thomas_jefferson_national_accelerator_facility 0.41,oak_ridge_national_laboratory 0.41,hugh_e_montgomery 0.4,ut_battelle 0.4,center_for_nanoscale_materials 0.39,edward_kolb 0.39,sandia_corporation 0.39
Major_appliance : computer_hardware 0.6,electronic_component 0.55,industrial_gas 0.54,specialty_store 0.54,furniture 0.54,general_merchandise_stores 0.53,building_products 0.49,toiletries 0.46,small_appliance 0.46,consumer_electronics 0.46,builders_hardware 0.44,electronics 0.42,clothing 0.41,air_freshener 0.41,final_good 0.4,office_supplies 0.4,building_material 0.38,packaging_and_labelling 0.38,distributor 0.38,medication 0.38
Storage_area_network : iscsi 0.83,fibre_channel 0.75,network-attached_storage 0.71,fibre_channel_over_ethernet 0.69,dell_equallogic 0.68,system_area_network 0.68,direct_attached_storage 0.67,ibm_san_volume_controller 0.66,vsan 0.65,sanrad 0.64,fibre_channel_over_ip 0.64,celerra 0.64,clariion 0.64,emc_invista 0.63,10_gigabit_ethernet 0.63,hp_storageworks 0.63,scsi 0.62,infiniband 0.61,i_o_virtualization 0.61,vmware_esx_server 0.6
Data_center : managed_services 0.6,virtualization 0.57,colocation 0.55,information_technology_management 0.53,business_continuity 0.52,internet_hosting_service 0.52,green_computing 0.51,nexus_7000 0.5,dedicated_hosting_service 0.5,colocation_centre 0.5,fabric_computing 0.49,disaster_recovery 0.48,dynamic_infrastructure 0.48,virtual_hosting 0.48,service_provider 0.47,logicalis 0.47,infrastructure_as_a_service 0.47,vmware_virtual_infrastructure 0.47,cloud_computing_security 0.47,cloud_storage 0.47
Karl_Wallinger : world_party 0.72,private_revolution 0.48,goodbye_jumbo 0.47,the_waterboys 0.43,andy_partridge 0.42,lloyd_cole 0.41,jeannie_c_riley 0.4,clive_gregson 0.4,1000_years_of_popular_music 0.4,todd_rundgren 0.4,this_is_the_sea 0.39,jules_shear 0.39,graham_gouldman 0.39,big_blue_ball 0.39,emitt_rhodes 0.38,kevin_godley 0.38,small_faces_40th_anniversary_edition 0.38,the_babys 0.38,sonny_thompson 0.38,out_of_the_ashes 0.38
Seoul_National_University : korea_university 0.63,sungkyunkwan_university 0.62,hwang_woo-suk 0.61,kaist 0.58,dankook_university 0.57,chung-ang_university 0.57,ewha_womans_university 0.56,snuppy 0.56,yonsei_university 0.56,pusan_national_university 0.56,chungbuk_national_university 0.56,hanyang_university 0.55,sookmyung_womens_university 0.55,ajou_university 0.54,sogang_university 0.54,konkuk_university 0.53,seonggyungwan 0.53,pohang_university_of_science_and_technology 0.52,university_of_seoul 0.51,seoul_national_university_hospital 0.5
Fox_Broadcasting_Company : nbc 0.75,american_broadcasting_company 0.74,the_cw_television_network 0.72,cbs 0.71,fox_entertainment_group 0.63,americas_got_talent 0.61,tbs 0.59,so_you_think_you_can_dance 0.59,upn 0.59,american_idol 0.58,fx 0.58,abc_family 0.58,kevin_reilly 0.58,mynetworktv 0.57,mlb_all_star_game 0.57,american_dad 0.57,nbc_sunday_night_football 0.56,turner_network_television 0.55,dateline_nbc 0.55,minds_2_0 0.55
Luce_Irigaray : hobson_texas 0.41,karatau 0.39,crow_butte 0.38,areva_nc 0.37,helene_cixous 0.35,smith_ranch_highland 0.35,in_situ_leach 0.35,julia_kristeva 0.34,inkai_uranium_project 0.34,uranium_one 0.34,jacques_lacan 0.33,michel_foucault 0.33,uranium_oxide 0.33,pierre_bourdieu 0.32,gilles_deleuze 0.31,powder_river_basin 0.31,monique_wittig 0.31,maurice_merleau-ponty 0.31,ram_river 0.3,glenn_catchpole 0.3
District_attorney : states_attorney 0.65,commonwealths_attorney 0.59,los_angeles_county_district_attorney 0.57,county_attorney 0.57,state_attorney_general 0.56,florida_attorney_general 0.56,united_states_attorney 0.55,grand_jury 0.55,public_defender 0.54,prosecutor 0.54,james_a_murphy_iii 0.53,pat_lykos 0.52,steve_cooley 0.52,risa_vetri_ferman 0.52,kathleen_rice 0.52,craig_watkins 0.51,mark_a_peterson 0.51,g9vp06 0.51,steve_lungen 0.5,cyrus_vance_jr 0.5
Ravi_Kant : tata_motors 0.67,ratan_tata 0.65,tata_1_lakh_car 0.65,tata_group 0.63,b_muthuraman 0.58,jaguar_land_rover 0.57,jagdish_khattar 0.56,sanand 0.55,singur 0.55,pantnagar 0.52,sajjan_jindal 0.52,nirupam_sen 0.52,tata_sons 0.52,cny5b4 0.52,ashok_leyland 0.52,anand_mahindra 0.52,tml_entertainment 0.52,hindustan_motors 0.51,carl_peter_forster 0.5,toyota_kirloskar 0.49
Cher_Wang : wen_chi_chen 0.55,high_tech_computer 0.46,dopod 0.43,s3_graphics 0.43,tsai_hong_tu 0.43,barry_lam 0.4,cheng_hui 0.4,mediatek 0.4,samsung_electronics 0.39,commercial_times 0.37,motorola 0.37,stan_shih 0.37,wang_yung-ching 0.37,quanta_computers 0.37,terry_gou 0.36,taipei_times 0.36,acer 0.36,motorola_mobile_devices 0.36,wang_jianzhou 0.36,taiwan_mobile 0.36
News_broadcasting : eyewitness_news 0.42,action_news 0.39,paige_kelton 0.37,wthi-tv 0.37,mark_zinni 0.37,kbmt 0.37,wtvf 0.37,five 0.35,stacy_smith 0.35,wokv 0.35,central_florida_news_13 0.35,kbtv-tv 0.35,wfts-tv 0.35,wsav-tv 0.34,wdbj 0.34,today_in_new_york 0.34,wsls-tv 0.34,wfla 0.34,wcbs-tv 0.34,komu-tv 0.34
Tamil_language : tamil_people 0.8,sri_lankan_tamils 0.76,sinhala 0.76,tamil_eelam 0.7,sinhalese_people 0.7,sri_lanka 0.68,liberation_tigers_of_tamil_eelam 0.67,eelam 0.64,jaffna_tamils 0.64,tamil_diaspora 0.63,sri_lanka_tamils 0.63,telugu 0.61,sri_lankan_tamil_dialects 0.61,assamese_language 0.6,hindi 0.6,tamil_script 0.6,jaffna 0.6,kannada_language 0.6,bengali_language 0.59,mahinda_rajapaksa 0.59
Philadelphia : south_philadelphia 0.69,northeast_philadelphia 0.68,center_city_philadelphia 0.67,pittsburgh 0.66,west_philadelphia 0.65,north_philadelphia 0.62,allentown 0.6,lehigh_valley 0.6,delaware_county_pennsylvania 0.6,baltimore 0.59,delaware_valley 0.59,harrisburg 0.59,reading_pennsylvania 0.55,doylestown 0.54,boston_massachusetts 0.54,pennsylvania 0.54,bethlehem_pennsylvania 0.54,norristown 0.54,scranton 0.54,bucks_county 0.54
Jason_Alexander : seinfeld 0.55,larry_david 0.52,george_costanza 0.5,jerry_seinfeld 0.49,brad_garrett 0.49,cheryl_hines 0.48,sarah_silverman 0.48,julia_louis-dreyfus 0.47,curb_your_enthusiasm 0.47,kelsey_grammar 0.46,jay_mohr 0.44,alec_baldwin 0.43,neil_patrick_harris 0.43,j_b_smoove 0.43,david_spade 0.43,will_grace 0.43,everybody_loves_raymond 0.42,jon_lovitz 0.42,jennifer_tilly 0.42,rob_schneider 0.42
Esurance : unitrin_direct_auto_insurance 0.51,progressive_corporation 0.5,allstate 0.5,esurance_insurance_company 0.44,geico 0.44,21st_century_insurance 0.43,liberty_mutual 0.41,state_farm_insurance 0.41,farmers_group_inc 0.4,encompass 0.4,white_mountains_insurance_group 0.4,mercury_insurance_group 0.39,safeco 0.37,allstate_financial 0.37,thomas_j_wilson 0.36,usaa 0.36,american_family_insurance 0.36,zurich_financial_services 0.36,california_casualty 0.36,chubb_corp 0.35
London_Heathrow_Airport : london_gatwick_airport 0.84,london_stansted_airport 0.8,manchester_international_airport 0.76,london_city_airport 0.76,london_heathrow_terminal_5 0.73,london_luton_airport 0.72,british_airways 0.69,edinburgh_airport 0.69,baa_plc 0.68,birmingham_international_airport 0.65,belfast_international_airport 0.65,bristol_international_airport 0.64,london_heathrow_terminal_4 0.64,newcastle_airport 0.64,aberdeen_airport 0.63,virgin_atlantic_airways 0.62,cz9k1v 0.62,leeds_bradford_international_airport 0.62,easyjet 0.62,glasgow_international_airport 0.61
Rock_and_roll : misty_mountain_hop 0.66,ramble_on 0.64,stairway_to_heaven 0.61,the_ocean 0.6,babe_im_gonna_leave_you 0.6,going_to_california 0.6,dazed_and_confused 0.58,led_zeppelin 0.58,the_lemon_song 0.58,communication_breakdown 0.57,no_quarter 0.56,your_time_is_gonna_come 0.56,the_battle_of_evermore 0.56,whole_lotta_love 0.55,black_mountain_side 0.55,you_shook_me 0.54,led_zeppelin_iv 0.52,living_loving_maid 0.52,four_sticks 0.52,houses_of_the_holy 0.52
GE_Healthcare : siemens_medical_solutions 0.63,carestream_health 0.53,john_dineen 0.53,ge_medical_systems 0.52,molecular_imaging 0.48,covidien_ltd 0.48,mckesson 0.45,philips 0.44,medrad_inc 0.43,roche_diagnostics 0.43,pet_ct 0.43,shimadzu_corp 0.42,general_electric 0.42,whatman 0.42,thermo_fisher_scientific 0.41,becton_dickinson 0.41,picture_archiving_and_communication_system 0.41,acuson 0.4,drager 0.4,centricity 0.4
Jean-Martin_Charcot : howard_henry_tooth 0.5,georges_gilles_de_la_tourette 0.47,pierre_marie 0.46,neuropathic_joint_disease 0.44,pierre_janet 0.43,joseph_babinski 0.43,charcot-marie-tooth_disease 0.42,adiposis_dolorosa 0.41,james_parkinson 0.41,prosper_meniere 0.41,mortons_neuroma 0.41,multiple_sclerosis 0.4,hereditary_motor_and_sensory_neuropathy 0.4,hermann_wilbrand 0.4,chorea 0.39,dystonia 0.39,bunion 0.39,ataxia 0.39,parry_romberg_syndrome 0.39,the_great_imitator 0.38
Manhattan_Project : robert_oppenheimer 0.57,trinity_test 0.54,hanford_washington 0.53,edward_teller 0.53,b-reactor 0.52,los_alamos_national_laboratory 0.52,leo_szilard 0.5,leslie_groves 0.49,atomic_age 0.47,hanford_site 0.46,arnold_kramish 0.44,hrb2dg 0.44,ted_taylor 0.43,soviet_atomic_bomb_project 0.43,fat_man 0.42,atoms_for_peace 0.42,glenn_t_seaborg 0.41,klaus_fuchs 0.41,operation_alsos 0.41,robert_furman 0.41
Ted_Nelson : project_xanadu 0.42,ralph_nelson 0.33,vannevar_bush 0.33,hypertext 0.33,claude_elwood_shannon 0.31,j_c_r_licklider 0.31,konrad_zuse 0.31,computer_lib 0.29,bob_bemer 0.29,countess_of_lovelace 0.29,intelligence_amplification 0.29,the_mythical_man-month 0.28,paul_otlet 0.28,ada_lovelace 0.28,douglas_engelbart 0.27,david_caminer 0.27,warren_weaver 0.27,knowledge_navigator 0.26,ray_solomonoff 0.26,ken_knowlton 0.26
Subsidiary : balance_sheet 0.56,retained_earnings 0.54,cash_flow 0.53,inc 0.52,katy_industries 0.5,orchard_enterprises 0.49,cash_flow_statement 0.48,pro_forma 0.47,financial_ratio 0.45,general_malice 0.44,net_income_attributable 0.44,exception_handling 0.43,natural_alternatives_international 0.43,aware_electronics 0.43,qcr_holdings 0.42,tiens_biotech_group 0.42,deficit 0.42,arbor_realty_trust 0.41,comprehensive_income 0.41,becky_measures 0.41
New_York : new_york_county 0.64,midtown_manhattan 0.58,big_apple 0.57,new_york_state 0.57,brooklyn 0.55,the_bronx 0.53,queens 0.52,lower_manhattan 0.51,long_island 0.51,white_plains 0.49,albany 0.49,long_island_city_queens 0.48,staten_island 0.48,upper_west_side 0.47,upper_east_side 0.46,westchester_county 0.46,new_york_post 0.45,greenwich_village 0.45,boston_massachusetts 0.45,san_francisco 0.44
Morris_Arboretum : longwood_gardens 0.55,bartrams_garden 0.5,scott_arboretum 0.5,minnesota_landscape_arboretum 0.49,pennsylvania_horticultural_society 0.48,cornell_plantations 0.48,woodmere_art_museum 0.47,longwood_saint_helena 0.47,chicago_botanic_garden 0.46,brooklyn_botanic_garden 0.46,philadelphia_flower_show 0.45,shade_garden 0.45,new_york_botanical_garden 0.44,arboretum 0.44,kingwood_center 0.44,arnold_arboretum_of_harvard_university 0.44,hardy_plant_society 0.44,cleveland_botanical_garden 0.44,chestnut_hill 0.44,natural_landscaping 0.44
Jeffrey_Tambor : arrested_development 0.62,tony_hale 0.62,jason_bateman 0.59,will_arnett 0.59,george_bluth_sr 0.57,david_cross 0.56,alia_shawkat 0.55,jessica_walter 0.55,bobby_cannavale 0.54,the_larry_sanders_show 0.52,michael_bluth 0.52,allison_janney 0.52,michael_cera 0.52,bill_hader 0.51,hank_kingsley 0.51,william_h_macy 0.51,steven_weber 0.51,steve_carell 0.51,rainn_wilson 0.5,judy_greer 0.5
Neurology : pediatrics 0.7,archives_of_neurology 0.7,neuropsychology 0.67,psychosomatic_illness 0.67,neuron 0.67,gastroenterology 0.66,journal_of_alzheimers_disease 0.66,journal_of_neuroscience 0.66,american_academy_of_neurology 0.65,journal_of_the_american_geriatrics_society 0.64,american_journal_of_cardiology 0.64,radiology 0.64,journal_of_the_american_medical_association 0.63,archives_of_internal_medicine 0.63,biological_psychiatry 0.63,neuropsychopharmacology 0.62,molecular_psychiatry 0.62,nature_neuroscience 0.62,health_psychology 0.62,thorax 0.62
Heather_Graham : bradley_cooper 0.67,justin_bartha 0.61,eva_mendes 0.59,zach_galifianakis 0.59,jessica_biel 0.59,elizabeth_banks 0.58,kristen_bell 0.58,jessica_alba 0.58,renee_zellweger 0.58,drew_barrymore 0.58,emma_roberts 0.57,michelle_monaghan 0.57,amber_heard 0.57,rosario_dawson 0.57,amanda_seyfried 0.56,ed_helms 0.56,christina_ricci 0.56,matthew_mcconaughey 0.56,christian_slater 0.56,anna_faris 0.56
Ed_Helms : zach_galifianakis 0.73,justin_bartha 0.67,bradley_cooper 0.63,ken_jeong 0.63,todd_phillips 0.62,stu_price 0.61,the_hangover_2 0.59,phil_wenneck 0.58,heather_graham 0.56,steve_carell 0.53,paul_rudd 0.52,john_krasinski 0.51,will_ferrell 0.51,jason_segel 0.5,jason_sudeikis 0.5,rob_corddry 0.49,craig_robinson 0.49,rainn_wilson 0.48,jason_bateman 0.48,jenna_fischer 0.48
Latin : latin_american_music 0.65,afro-cuban 0.57,flamenco 0.55,medieval_latin 0.52,afro_caribbean_music 0.51,salsa_music 0.51,hebrew 0.51,middle_english 0.5,ancient_greek 0.49,french_middle 0.49,timba 0.49,klezmer 0.48,occitan_language 0.48,latin_jazz 0.48,cumbia 0.48,bomba 0.48,old_english_language 0.47,spanglish 0.47,ladino_language 0.47,koine_greek 0.47
Robert_Wood_Johnson_I : 4zw3_f 0.4,casey_johnson 0.36,robert_wood_johnson_iii 0.35,new_brunswick_new_jersey 0.35,sale_johnson 0.34,mina_miller 0.34,robert_wood_johnson_ii 0.34,mary_lea_johnson_richards 0.33,james_wood_johnson 0.33,the_bristol_myers_squibb_childrens_hospital 0.32,168nq 0.32,homer_stryker 0.31,alelia_walker 0.3,cc542f 0.29,mary_stilwell 0.29,robert_wood_johnson_university_hospital 0.28,muhlenberg_hospital 0.28,saint_peters_university_hospital 0.28,larabida_childrens_hospital 0.28,robert_wood_johnson_iv 0.28
Brooke_Anderson : showbiz_tonight 0.6,a_j_hammer 0.56,entertainment_tonight 0.52,access_hollywood 0.48,e_news 0.47,kevin_frazier 0.46,nancy_odell 0.45,dayna_devon 0.45,mary_hart 0.44,25s_bw 0.44,lara_spencer 0.42,billy_bush 0.42,anderson_cooper 0.42,giuliana_depandi 0.42,2lw5z 0.41,barbara_walters 0.41,cheryl_woodcock 0.41,jason_kennedy_1981 0.41,samantha_harris 0.41,victoria_recano 0.41
Anselm_of_Canterbury : assumption_college 0.64,salve_regina 0.6,michael 0.58,american_international_college 0.58,merrimack_college 0.56,franklin_pierce_college 0.56,saint_michael_parish_barbados 0.56,sacred_heart_university 0.55,holy_cross_crusaders 0.54,immaculate_conception 0.54,northeast_ten_conference 0.54,stonehill_college 0.54,holy_family 0.53,anna_maria_college 0.53,southern_connecticut_state_university 0.52,sacred_heart 0.52,archbishop_williams_high_school 0.51,albertus_magnus 0.51,8_sz3 0.51,endicott_college 0.51
Electrical_engineering : mechanical_engineering 0.62,computer_science 0.6,b_e 0.6,computer_engineering 0.59,industrial_engineering 0.57,electronic_engineering 0.57,chemical_engineering 0.56,msc 0.56,bachelor_of_science 0.55,engineering_physics 0.54,applied_mathematics 0.54,engineering_management 0.53,administration 0.53,operations_research 0.52,economics 0.51,environmental_engineering 0.51,physics 0.51,aerospace_engineering 0.51,bachelors_degree 0.5,accounting 0.5
Russia : moscow 0.83,kremlin 0.73,ukraine 0.73,belarus 0.71,dmitry_medvedev 0.7,vladimir_putin 0.69,european_russia 0.68,puin 0.65,kazakhstan 0.65,information_telegraph_agency_of_russia 0.65,d0kn 0.65,novosti 0.64,belarusian_language 0.62,interfax 0.62,saint_petersburg 0.61,soviet_union 0.6,kommersant 0.6,tsardom_of_russia 0.6,sergei_ivanov 0.59,post-soviet_states 0.59
Nebraska : omaha_nebraska 0.73,lincoln 0.67,south_dakota 0.65,kansas 0.64,missouri 0.63,north_platte 0.61,grand_island 0.61,oklahoma 0.61,hastings_nebraska 0.6,scottsbluff 0.59,university_of_nebraska_system 0.58,north_dakota 0.58,kearney 0.57,nebraska_panhandle 0.57,university_of_nebraska_lincoln 0.56,papillion 0.56,iowa 0.56,norfolk_nebraska 0.56,nebraska_city 0.56,wyoming 0.54
Thomas_DiNapoli : new_york_state_comptroller 0.79,andrew_cuomo 0.63,alan_hevesi 0.62,david_paterson 0.57,eric_schneiderman 0.54,john_liu 0.52,matthew_boxer 0.52,hr8_7s 0.52,sheldon_silver 0.52,government_of_new_york 0.51,6w2tkr 0.5,eliot_spitzer 0.5,john_faso 0.5,george_pataki 0.5,thomas_suozzi 0.5,comptroller_of_maryland 0.49,4y7w05 0.49,new_york_city_comptroller 0.49,albany 0.49,andrew_sanfilippo 0.49
Home_appliance : home_video 0.62,business_solutions 0.54,consumer_electronics 0.46,display_device 0.43,mobile_phone 0.41,lg_electronics 0.39,digital_imaging 0.38,small_appliance 0.36,philips_consumer_electronics 0.36,home_audio 0.36,major_appliance 0.36,electronics 0.36,home_cinema 0.35,cordless_telephone 0.35,lighting 0.35,plasma_display 0.35,matsushita_electric_industrial_co 0.34,lcd_tv 0.34,digital_media 0.34,automaker 0.34
News : map 0.56,rttnews 0.36,rumors 0.33,entertainment 0.31,local_news 0.31,shopping 0.3,united_states_general_elections_2008 0.3,united_states_presidential_election 0.3,categorization 0.28,9s1f 0.28,national_high_school 0.27,3gx4_0 0.27,sport 0.26,new_music 0.26,cnz20g 0.26,politics 0.26,avril_incandenza 0.26,vox_populi 0.25,diana_zoga 0.25,art_thomason 0.25
